admin_asset_fund	Quỹ Tài Sản — Diamond+
admin_challenge_name	Tên Challenge
admin_clawback	Clawback Tool
admin_confirm_clawback	⚠️ Xác nhận Clawback
admin_deploy_challenge	🚀 Deploy Challenge on-chain
admin_end	Kết thúc
admin_flash_title	Flash Challenge Creator
admin_perf_title	Quỹ Thưởng Hiệu Suất — Phần 2
admin_save_config	💾 Lưu cấu hình
admin_start	Bắt đầu
aff_commission_history	Lịch sử hoa hồng
aff_escrow_title	2,100,000đ đang trong escrow
aff_income_f1	F1 Trực tiếp (30% trên đơn hàng)
aff_income_group	Revenue sharing nhóm (20% × thu nhập F1)
aff_income_ktv	Giới thiệu học phí KTV (15% × học phí)
aff_income_pool	Pool Đại Sứ toàn cầu (2% GMV hệ thống)
aff_income_pro	Giới thiệu phí Pro (15% × phí tháng)
aff_income_title	Thu nhập tháng 04/2026 
aff_not_ranked	Chưa đạt rank
aff_prog_a	Còn 70tr → Đại Sứ
aff_prog_b	Còn 155tr → Đại Sứ
aff_rank_sub	Trả phí 19$/tháng · Hết hạn 11/05/2026
aff_streak	Chuỗi streak
aff_team	Đội nhóm
aff_total_f1	Tổng F1
affiliate_code	MÃ GIỚI THIỆU
analytics_chart_title	GMV & Hoa hồng 6 tháng
analytics_commission	Hoa hồng
analytics_export	XUẤT BÁO CÁO
analytics_export_commission	💰 Hoa hồng chi tiết (CSV)
analytics_export_gmv	📋 GMV theo ngày (CSV)
analytics_export_monthly	📊 Báo cáo tháng (PDF)
analytics_export_tax	🧾 Báo cáo thuế TNCN
analytics_gmv_month	GMV tháng
analytics_monthly_target	MỤC TIÊU THÁNG
analytics_revenue_product	DOANH THU THEO SP
auth_demo_hint	Demo: duc@zeni.holdings / Zeni@2026
auth_email_label	Email / Số điện thoại
auth_fullname	Họ và tên
auth_has_account	Đã có tài khoản? 
auth_login_btn	Đăng nhập →
auth_login_link	Đăng nhập
auth_login_title	Đăng nhập
auth_no_account	Chưa có tài khoản? 
auth_password_label	Mật khẩu
auth_phone	Số điện thoại
auth_register_btn	Tạo tài khoản →
auth_register_note	✓ Tạo Zeni ID — dùng được toàn bộ hệ sinh thái Zeni Holdings
auth_signup_link	Đăng ký ngay
available	Khả dụng
badges_milestone_title	Milestone SBT — Mốc thành tích
badges_streak_current	Streak hiện tại
badges_streak_title	Streak System — Bonus F1
badges_title	NFT Rank Badges — Soul-bound Token (SBT) · Không thể mua bán · On-chain Polygon
bnav_account	Tài khoản
bnav_affiliate	Affiliate
bnav_home	Home
bnav_staking	Staking
bnav_voucher	Voucher
btn_receive	↓ Nhận
btn_send	→ Gửi
btn_swap	⇄ Swap
common_all	Tất cả
common_cancel	Huỷ
common_group	Nhóm
copy_link	📋 Copy link giới thiệu
cta_btn_create	🚀 Tạo Zeni ID miễn phí
cta_btn_demo	Xem Demo App →
cta_sub	Tạo Zeni ID miễn phí. KYC 1 lần. Dùng được toàn bộ hệ sinh thái Zeni Holdings.
cta_title	Tham gia ngay hôm nay
dash_balance_change	↑ +5.2% · 7 ngày qua
dash_balance_vnd	≈ 14,351,250 VND · ≈ $573 USD
dash_btn_send	→ Gửi $Zeni
dash_commission_label	Hoa hồng tháng
dash_escrow_label	Escrow
dash_escrow_sub	7 ngày
dash_gmv_label	GMV tích lũy
dash_prog_a_remain	Còn 70tr nữa
dash_prog_b_remain	Còn 155tr nữa
dash_progress_title	Tiến độ Đại Sứ
dash_rank_expire	Hết hạn 11/05/2026
dash_rank_title	Rank hiện tại
dash_voucher_label	NFT Voucher
dash_xp_label	ANIMA XP On-Chain
dash_xp_sub	+350 hôm nay · ERC-1155
eco_anima_desc	Chuỗi Wellness: Clinics · KTV · ANIMA 119 · Đào tạo
eco_biotea_desc	Supply Chain Trà: Vùng nguyên liệu → Marketplace B2B
eco_digital_desc	SaaS: ZeniOS · ZeniERP · ZeniPay · Zeni Studio · Media
eco_nexbuild_desc	Construction Tech: 11 modules · BIM · Digital Twin
eco_sub	5 platform, 1 infrastructure, 1 token, 1 tài khoản
eco_title	Hệ sinh thái Zeni Holdings
eco_wellkoc_desc	Social Commerce: KOC Network · Live · Affiliate · NFT
escrow_sub	Tự động release sau 7 ngày xác nhận đơn
gov_10days_left	Còn 10 ngày
gov_7days_left	Còn 7 ngày
gov_agree	✅ Đồng ý
gov_create_locked	📝 Tạo đề xuất (locked)
gov_create_proposal	TẠO ĐỀ XUẤT
gov_dao_stats	THỐNG KÊ DAO
gov_disagree	❌ Phản đối
gov_need_zeni	Cần 10,000 Zeni để tạo proposal. Bạn đang có 2,100.
gov_open	Đang mở
gov_proposal_8_title	Tăng APY Flexible Pool từ 12% lên 15%
gov_proposal_9_title	Mở rộng thị trường Ấn Độ — Hindi + 600M users
gov_proposals_active	Đề xuất đang bỏ phiếu 
gov_proposals_passed	Đề xuất đã thông qua
gov_status_voting	🟢 Đang bỏ phiếu
gov_status_voting_purple	🟣 Đang bỏ phiếu
gov_voted	Đã bỏ phiếu
gov_voting_power	Quyền bỏ phiếu
hero_badge	Polygon CDK · ASEAN Wellness Web3
hero_btn_demo	Xem Demo →
hero_btn_start	🚀 Bắt đầu miễn phí
hero_stat_gas	Gas Fee ($Zeni)
hero_stat_gmv	GMV / Tháng
hero_stat_koc	KOC Network
hero_stat_staked	$Zeni Staked
hero_sub	Zeni Chain là nền tảng Web3 duy nhất có real utility từ hệ sinh thái wellness thật — không đầu cơ, không farming. Kiếm $Zeni từ doanh số thật, đổi XP lấy dịch vụ thật.
hero_title_1	Blockchain dành cho
hero_title_2	Wellness & Commerce
hero_title_3	ASEAN
land_btn_login	Đăng nhập
land_btn_signup	Đăng ký ngay
land_nav_ecosystem	Hệ sinh thái
land_nav_strengths	Điểm mạnh
land_nav_tokenomics	Tokenomics
land_nav_zenid	Zeni ID
nav_admin	Admin Panel
nav_affiliate	Affiliate
nav_analytics	Analytics
nav_assets	Tài sản
nav_blockchain	Blockchain
nav_business	Kinh doanh
nav_dashboard	Dashboard
nav_governance	Governance
nav_growth	Tăng trưởng
nav_nfts	NFT Badges
nav_onchain	On-Chain
nav_overview	Tổng quan
nav_pools	Pool Đại Sứ
nav_settings	Tài khoản
nav_staking	Staking
nav_system	Hệ thống
nav_voucher	NFT Voucher
nav_wallet	Ví & Tài sản
onchain_my_sbt	SBT On-Chain của tôi
onchain_tx_history	Lịch sử giao dịch On-Chain 
pools_ambassador	Đại Sứ
pools_car_fund	Quỹ Xe
pools_career_title	Quỹ Cống Hiến Sự Nghiệp — Dành cho Diamond+
pools_dragon	Thiên Long
pools_global_title	Quỹ Đại Sứ Toàn Cầu — 12% GMV hệ thống · 6 Pool × 2%
pools_house_fund	Quỹ Nhà
pools_performance_title	Quỹ Thưởng Hiệu Suất (Admin bật/tắt)
pools_phoenix	Phượng Hoàng
pools_travel_fund	Du Lịch
see_all	Xem tất cả →
settings_2fa_title	Xác thực 2 yếu tố (2FA)
settings_appearance	Giao diện
settings_cancel	↩ Huỷ
settings_chakra_fx	✨ Hiệu ứng chakra
settings_change_photo	📷 Đổi ảnh
settings_change_pw	Đổi mật khẩu
settings_connect_wallet	Kết nối ví ngoài
settings_currency	Đơn vị tiền tệ
settings_danger_zone	⚠️ Vùng nguy hiểm
settings_dark_mode	🌙 Chế độ tối
settings_display_lang	Ngôn ngữ hiển thị
settings_export_data	Xuất dữ liệu
settings_kyc_benefits	Quyền lợi KYC
settings_kyc_pending	Chờ xác minh
settings_kyc_verify	Xác minh danh tính
settings_lang_region	Ngôn ngữ & Khu vực
settings_logout_all	🚫 Đăng xuất tất cả thiết bị khác
settings_new_pin	🔒 Đặt PIN mới
settings_not_activated	Chưa kích hoạt
settings_not_connected	Chưa kết nối
settings_notif_commission	💰 Hoa hồng released
settings_notif_news	📢 Tin tức Zeni
settings_notif_onchain	⛓ Giao dịch on-chain
settings_notif_rank	🏅 Rank thay đổi
settings_notifications	Thông báo
settings_personal_info	Thông tin cá nhân
settings_pin_sub	Bắt buộc khi xác nhận giao dịch on-chain
settings_pin_title	PIN giao dịch 6 số
settings_save_changes	💾 Lưu thay đổi
settings_sessions	Phiên đăng nhập
settings_show_balance	🔢 Hiển thị số dư
settings_social	Mạng xã hội
settings_suspend	🚫 Đình chỉ tài khoản
settings_tab_kyc	🪪 KYC
settings_tab_prefs	⚙️ Tuỳ chỉnh
settings_tab_profile	👤 Hồ sơ
settings_tab_security	🔐 Bảo mật
settings_tab_wallet	⛓ Ví
settings_timezone	Múi giờ
settings_update_pw	🔑 Cập nhật
settings_withdraw_limit	Giới hạn rút tiền
settings_zeni_ecosystem	Zeni ID · Hệ sinh thái
staking	Staking
staking_anytime	Bất kỳ
staking_apy_label	APY đang hưởng
staking_btn_stake	🔒 Stake thêm
staking_btn_unstake	🔓 Unstake
staking_calc_amount	Số lượng stake
staking_calc_yearly	Ước tính / năm
staking_calculator	TÍNH TOÁN LỢI NHUẬN
staking_choose_pool	Chọn Pool Staking
staking_confirm	✅ Xác nhận
staking_confirm_unstake	⚠️ Xác nhận Unstake
staking_flex_sub	Rút bất kỳ lúc nào
staking_history	Lịch sử stake
staking_modal_title	🔒 Stake $Zeni
staking_pool_overview	TỔNG QUAN POOL
staking_popular	🔥 Phổ biến nhất
staking_rewards	Phần thưởng tích lũy
staking_staked	Đang stake
staking_th_amount	Số lượng
staking_th_reward	Reward
staking_th_unlock	Unlock
token_founder	Founder · Dual 10x vote
token_hardcap	Hard Cap · Không vượt
token_sub	1 tỷ hard cap · Polygon Chain · Real demand từ hệ sinh thái
token_title	Tokenomics $Zeni
total_assets	TỔNG TÀI SẢN Zeni Chain
voucher_filter_food	Ăn uống
voucher_filter_product	Sản phẩm
voucher_filter_training	Đào tạo
voucher_holding	NFT Voucher đang giữ
voucher_mint	Mint NFT →
voucher_redeem_title	Đổi XP lấy NFT Voucher
voucher_remaining	Còn lại
voucher_use	Dùng
voucher_xp_gmv	💰 Mỗi 1tr GMV
voucher_xp_guide	XP Earn Guide
voucher_xp_ktv	🎓 Hoàn thành KTV
voucher_xp_order	🛒 Mỗi đơn hàng
voucher_xp_pro	🤝 Giới thiệu Pro
voucher_xp_rank	🏅 Lên rank mới
wallet_address	Địa chỉ ví
wallet_info	Thông tin ví
wallet_open_bridge	🌉 Mở AggLayer Bridge →
wallet_tx_history	Lịch sử giao dịch ví
why_card1_sub	$Zeni được earn từ doanh số thật (ANIMA Care, WellKOC, Biotea84), không phải farming ảo. Token có demand thật từ voucher dịch vụ, gas fee, governance.
why_card1_tag	Không có chain nào làm được
why_card1_title	Real Utility — Không đầu cơ
why_card2_sub	30% hoa hồng F1 + Revenue sharing nhóm on-chain. Escrow tự động 7 ngày, clawback smart contract. Affiliate không thể gian lận, minh bạch 100% trên blockchain.
why_card2_title	KOC Network On-Chain
why_card3_sub	Như Google Account: đăng ký 1 lần, KYC 1 lần, dùng được toàn bộ 5 platform trong hệ sinh thái Zeni. Không cần tạo tài khoản riêng cho từng app.
why_card3_title	Zeni ID — 1 tài khoản toàn hệ sinh thái
why_card4_sub	XP earn từ mỗi đơn hàng → Mint NFT Voucher → Đổi lấy dịch vụ ANIMA Care (khám bệnh, sản phẩm 119, đào tạo KTV). Không có chain nào có wellness voucher thật.
why_card4_title	NFT Voucher — Đổi XP lấy dịch vụ thật
why_card5_sub	Gas fee dưới 0.001 $Zeni. Finality dưới 2 giây. Settlement về Ethereum L1. ~2,400 TPS. Không cần tự build security — kế thừa từ Polygon ecosystem.
why_card5_title	Polygon CDK + AggLayer
why_card6_sub	VI · EN · ZH · JA · KO · TH · ID · MS · HI · AR · KM · LO. Giao diện, pháp lý, và cộng đồng được thiết kế cho Đông Nam Á và SGX IPO 2031.
why_card6_title	ASEAN-Native · 12 Ngôn ngữ
why_sub	Những điểm khác biệt mà không chain nào có được
why_title	Tại sao Zeni Chain?
